,barrio_original,barrio_sin_est,nom_match,lat,lon
2936,MARIA PAZ E-8,MARIA PAZ,MARIA PAZ,,
2937,MARIBURE E-11,MARIBURE ,MARRUECOS,,
2938,MARICHUELA I ETAPA E-5,MARICHUELA I ETAPA,MARIA CRISTINA,,
2939,MARISCAL SUCRE E-2,MARISCAL SUCRE,MARCO FIDEL SUAREZ,,
2940,MARISCAL SUCRE E-5,MARISCAL SUCRE,MARCO FIDEL SUAREZ,,
2941,MARLY E-2,MARLY,MARLY,,
2942,MARRUECOS E-18,MARRUECOS ,MARRUECOS,,
2943,MARRUECOS II SECTOR E-18,MARRUECOS II SECTOR ,MARRUECOS,,
2944,MARSELLA E-8,MARSELLA,MARSELLA,,
2945,MARSELLA SECTOR NORTE I ETAPA E-8,MARSELLA SECTOR NORTE I ETAPA,MARSELLA,,
2946,MARTINICA E-7,MARTINICA,MARIA CANO,,
2947,MARTINICA E-8,MARTINICA,MARIA CANO,,
2948,MARTIRES E-14,MARTIRES ,MARRUECOS,,
2949,MARÍA CANO E-19,MARÍA CANO ,MARIA CANO,,
2950,MATADERO EL UVAL E-5,MATADERO EL UVAL,PARQUE EL TUNAL,,
2951,MATADERO MUNICIPAL E-16,MATADERO MUNICIPAL ,MARIA CRISTINA,,
2952,MATATIGRES E-18,MATATIGRES ,SANTA TERESITA,,
2953,MATEMONTE E-11,MATEMONTE ,DELMONTE,,
2954,MAZUREN I SECTOR E-11,MAZUREN I SECTOR ,MAZUREN,,
2955,MEDELLÍN E-1,MEDELLÍN,MADELENA,,
2956,MEDIA LOMA E-19,MEDIA LOMA ,LAS LOMAS,,
2957,MEDITERRANEO E-1,MEDITERRANEO,MEISSEN,,
2958,MEDITERRÁNEO E-1,MEDITERRÁNEO,MEISSEN,,
2959,MEISSEN E-19,MEISSEN ,MEISSEN,,
2960,MEISSEN E-6,MEISSEN,MEISSEN,,
2961,MEISSEN NORTE E-10,MEISSEN NORTE ,MEISSEN,,
2962,MEISSEN SIDAUTO E-10,MEISSEN SIDAUTO ,MEISSEN,,
2963,MEISSEN SIDAUTO E-11,MEISSEN SIDAUTO ,MEISSEN,,
2964,MENDIGUACA E-12,MENDIGUACA ,ARMENIA,,
2965,MERCED SUR SAN IGNACIO E-18,MERCED SUR SAN IGNACIO ,VEREDA SUBA CERROS II,,
2966,MERCEDES DE CALAHORRA,MERCEDES DE CALAHORRA,ESCUELA DE CARABINEROS,,
2967,METROPOLIS E-10,METROPOLIS ,METROPOLIS,,
2968,METROPOLIS E-12,METROPOLIS ,METROPOLIS,,
2969,METROPOLIS OCCIDENTAL E-10,METROPOLIS OCCIDENTAL ,METROPOLIS,,
2970,METRÓPOLIS E-10,METRÓPOLIS ,METROPOLIS,,
2971,MEXICO E-19,MEXICO ,MEXICO,,
2972,MEXICO II E-19,MEXICO II ,MEXICO,,
2973,MIAMI E-7,MIAMI,MILLAN,,
2974,MILAN E-1,MILAN,MILLAN,,
2975,MILENTA E-16,MILENTA ,MILLAN,,
2976,MILENTA II SECTOR E-8,MILENTA II SECTOR,VILLA NELLY III SECTOR,,
2977,MILENTA III SECTOR E-8,MILENTA III SECTOR,VILLA NELLY III SECTOR,,
2978,MILLAN LOS SAUCES E-19,MILLAN LOS SAUCES ,MILLAN,,
2979,MILLÁN LOS SAUCES E-19,MILLÁN LOS SAUCES ,LOS SAUCES,,
2980,MINERVA E-2,MINERVA,GINEBRA,,
2981,MINUTO DE DIOS E-10,MINUTO DE DIOS ,EL MINUTO DE DIOS,,
2982,MINUTO DE MARIA E-19,MINUTO DE MARIA ,EL MINUTO DE MARIA,,
2983,MINUTO DE MARÍA E-19,MINUTO DE MARÍA ,EL MINUTO DE MARIA,,
2984,MIRADOR - NUTIBARA E-19,MIRADOR - NUTIBARA ,MIRADOR DEL NORTE,,
2985,MIRADOR DE ALCALÁ E-19,MIRADOR DE ALCALÁ ,MIRADOR DEL NORTE,,
2986,MIRADOR DE CORINTO 3 E-19,MIRADOR DE CORINTO 3 ,MIRADOR DEL NORTE,,
2987,MIRADOR DE LA CAMPIÑA SECTOR 2 E-11,MIRADOR DE LA CAMPIÑA SECTOR 2 ,MIRADOR DEL NORTE,,
2988,MIRADOR DE LA ESTANCIA E-19,MIRADOR DE LA ESTANCIA ,MIRADOR DEL NORTE,,
2989,MIRADOR DE LA PRIMAVERA E-19,MIRADOR DE LA PRIMAVERA ,MIRADOR DEL NORTE,,
2990,MIRADOR DE LOS MOLINOS II SECTOR E-18,MIRADOR DE LOS MOLINOS II SECTOR ,MIRADOR DEL NORTE,,
2991,MIRADOR DE SAN MARCOS E-19,MIRADOR DE SAN MARCOS ,MIRADOR DEL NORTE,,
2992,MIRADOR DE SANTA SOFIA E-18,MIRADOR DE SANTA SOFIA ,MIRADOR DEL NORTE,,
2993,MIRADOR DE SANTA SOFÍA E-18,MIRADOR DE SANTA SOFÍA ,MIRADOR DEL NORTE,,
2994,MIRADOR DE SUBA E-11,MIRADOR DE SUBA ,MIRADOR DEL NORTE,,
2995,MIRADOR DEL NORTE E-1,MIRADOR DEL NORTE,MIRADOR DEL NORTE,,
2996,MIRADOR DOS E-10,MIRADOR DOS ,MIRADOR DEL NORTE,,
2997,MIRADOR EL E-19,MIRADOR EL ,MIRADOR DEL NORTE,,
2998,MIRADOR UNO E-10,MIRADOR UNO ,MIRADOR DEL NORTE,,
2999,MIRAFLORES E-11,MIRAFLORES ,MIRANDELA,,
3000,MIRAFLORES E-4,MIRAFLORES,MIRANDELA,,
3001,MIRAFLORES E-8,MIRAFLORES,MIRANDELA,,
3002,MIRAFLORES E-9,MIRAFLORES,MIRANDELA,,
3003,MIRAFLOREZ  E-8,MIRAFLOREZ ,MIRANDELA,,
3004,MIRAMAR E-11,MIRAMAR ,MIRANDELA,,
3005,MIRANDELA E-11,MIRANDELA ,MIRANDELA,,
3006,MIRAVAL E-11,MIRAVAL ,MIRANDELA,,
3007,MIRAVALLE E-5,MIRAVALLE,MIRANDELA,,
3008,MISION DE COLOMBIA E-12,MISION DE COLOMBIA ,PINOS DE LOMBARDIA,,
3009,MISIÓN DE COLOMBIA E-12,MISIÓN DE COLOMBIA ,TTES DE COLOMBIA,,
3010,MODELIA E-9,MODELIA,MODELIA,,
3011,MODELIA SECTOR A E-9,MODELIA SECTOR A,MODELIA OCCIDENTAL,,
3012,MODELIA SECTOR C E-9,MODELIA SECTOR C,MODELIA,,
3013,MODELIA SECTOR D E-9,MODELIA SECTOR D,MODELIA,,
3014,MODELIA SECTOR E E-9,MODELIA SECTOR E,MODELIA,,
3015,MODELO E-12,MODELO ,MODELO SUR,,
3016,MODELO II E-12,MODELO II ,MODELIA,,
3017,MODELO SUR E-4,MODELO SUR,MODELO SUR,,
3018,MOLINOS DE VIENTO E-10,MOLINOS DE VIENTO ,MOLINOS DE ORIENTE,,
3019,MOLINOS DEL SUR E-18,MOLINOS DEL SUR ,MOLINOS DEL SUR,,
3020,MONACO E-11,MONACO ,MONACO,,
3021,MONACO E-7,MONACO,MONACO,,
3022,MONASTERIO E-5,MONASTERIO,MONTES,,
3023,MONSERRATE,MONSERRATE,MONTES,,
3024,MONTE BELLO E-4,MONTE BELLO,MONTEBELLO,,
3025,MONTE CARLO E-9,MONTE CARLO,MONTE CARLO,,
3026,MONTE RUBIO E-5,MONTE RUBIO,MONTE CARLO,,
3027,MONTE VERDE E-11,MONTE VERDE ,MONTEVIDEO,,
3028,MONTEBLANCO E-5,MONTEBLANCO,MONTEBLANCO,,
3029,MONTECARLO E-4,MONTECARLO,MONTE CARLO,,
3030,MONTECARLO PLAZA E-1,MONTECARLO PLAZA,MONTE CARLO,,
3031,MONTECHELO E-11,MONTECHELO ,MONTEBELLO,,
3032,MONTECITO E-11,MONTECITO ,MONTEVIDEO,,
3033,MONTECLARO C-7,MONTECLARO,MONTE CARLO,,
3034,MONTENIZA E-11,MONTENIZA ,MONTES,,
3035,MONTERREY E-11,MONTERREY ,MONTES,,
3036,MONTERREY E-19,MONTERREY ,MONTES,,
3037,MONTERREY E-8,MONTERREY,MONTES,,
3038,MONTES I SECTOR E-16,MONTES I SECTOR ,MONTES,,
3039,MONTES II SECTOR E-16,MONTES II SECTOR ,MONTES,,
3040,MONTES III SECTOR E-16,MONTES III SECTOR ,MONTES,,
3041,MONTEVIDEO E-5,MONTEVIDEO,MONTEVIDEO,,
3042,MONTEVIDEO E-9,MONTEVIDEO,MONTEVIDEO,,
3043,MONTIJO E-9,MONTIJO,MONTEVIDEO,,
3044,MORAGA E-1,MORAGA,MORALBA,,
3045,MORALBA E-4,MORALBA,MORALBA,,
3046,MORALIA II E-8,MORALIA II,MORALBA,,
3047,MORATO E-11,MORATO ,MORALBA,,
3048,MORATO NO. 2 E-11,MORATO NO. 2 ,,,
3049,MORAVIA  C-4,MORAVIA ,MORAVIA,,
3050,MORAVIA E-9,MORAVIA,MORAVIA,,
3051,MORAVIA II E-8,MORAVIA II,MORAVIA,,
3052,MORTIÑOS E-11,MORTIÑOS ,METROPOLIS,,
3053,MOSERRATE E-16,MOSERRATE ,MOLINOS NORTE,,
3054,MUELLE INDUSTRIAL II ETAPA E-9,MUELLE INDUSTRIAL II ETAPA,LA ESTRELLITA III,,
3055,MUEQUETA E-12,MUEQUETA ,MUEQUETA,,
3056,MUISCA E-10,MUISCA ,USMINIA,,
3057,MULTICENTRO E-1,MULTICENTRO,,,
3058,MULTIFAMILIAR ALICANTE E-1,MULTIFAMILIAR ALICANTE,VILLA MARIA,,
3059,MULTIFAMILIAR CANAPRO E-1,MULTIFAMILIAR CANAPRO,VILLA MARIA,,
3060,MULTIFAMILIAR JACARANDA (BARILOCHE) E-1,MULTIFAMILIAR JACARANDA (BARILOCHE),,,
3061,MULTIFAMILIAR LAS BRISAS E-4,MULTIFAMILIAR LAS BRISAS,VILLA MARIA,,
3062,MULTIFAMILIAR LOS LAGOS E-10,MULTIFAMILIAR LOS LAGOS ,VILLA MARIA,,
3063,MULTIFAMILIAR VILLA EMILIA E-8,MULTIFAMILIAR VILLA EMILIA,,,
3064,MULTIFAMILIARES CARIMAGUA E-8,MULTIFAMILIARES CARIMAGUA,ALQUERIA LA FRAGUA,,
3065,MULTIFAMILIARES IPANEMA I Y II E-1,MULTIFAMILIARES IPANEMA I Y II,,,
3066,MULTIFAMILIARES LA PAZ E-8,MULTIFAMILIARES LA PAZ,VILLA MARIA,,
3067,MULTISERVITA E-1,MULTISERVITA,MOLINOS DE ORIENTE,,
3068,MULTISERVITA P-3 INSCREDIAL E-1,MULTISERVITA P-3 INSCREDIAL,AUTOPISTA MEDELLIN,,
3069,MUNICIPIO DE USAQUÉN E-1,MUNICIPIO DE USAQUÉN,RINCON DE SUBA,,
3070,MURILLO,MURILLO,MURILLO TORO,,
3071,MURILLO TORO E-18,MURILLO TORO ,MURILLO TORO,,
3072,MUSEO DE LOS NIÑOS E-12,MUSEO DE LOS NIÑOS ,BOSQUE DE LOS ALPES,,
3073,MUSEO DEL CHICO E-2,MUSEO DEL CHICO,ALTOS DE CHOZICA,,
3074,MUZU E-16,MUZU ,MUZU,,
3075,MUZU E-6,MUZU,MUZU,,
3076,MÁLAGA E-10,MÁLAGA ,LA GRANJA,,
3077,MÉXICO E-19,MÉXICO ,MEXICO,,
3078,MÉXICO II E-19,MÉXICO II ,MEXICO,,
3079,MÉXICO III E-19,MÉXICO III ,MEXICO,,
3080,MÓNACO E-11,MÓNACO ,MONACO,,
3081,N.N. E-19,N.N. ,,,
3082,NACIONES UNIDAS E-19,NACIONES UNIDAS ,NACIONES UNIDAS,,
3083,NACIONES UNIDAS SECTOR CHAPARRO E-19,NACIONES UNIDAS SECTOR CHAPARRO ,NACIONES UNIDAS,,
3084,NACIONES UNIDAS SECTOR SANTA ROSA E-19,NACIONES UNIDAS SECTOR SANTA ROSA ,NACIONES UNIDAS,,
3085,NAMUR E-11,NAMUR ,NIZA SUR,,
3086,NARANJOS E-11,NARANJOS ,NARINO SUR,,
3087,NARIÑO E-13,NARIÑO ,NARINO SUR,,
3088,NARIÑO SUR E-4,NARIÑO SUR,NARINO SUR,,
3089,NAVARRA E-1,NAVARRA,BAVARIA,,
3090,NAVARRA E-9,NAVARRA,BAVARIA,,
3091,NEBRASCA E-5,NEBRASCA,GINEBRA,,
3092,NELSON MANDELA,NELSON MANDELA,NORMANDIA,,
3093,NICOLAS DE FEDERMAN E-13,NICOLAS DE FEDERMAN ,NICOLAS DE FEDERMAN,,
3094,NICOLAS DE FEDERMAN I SECTOR E-13,NICOLAS DE FEDERMAN I SECTOR ,NICOLAS DE FEDERMAN,,
3095,NICOLAS DE FEDERMAN II SECTOR E-13,NICOLAS DE FEDERMAN II SECTOR ,NICOLAS DE FEDERMAN,,
3096,NICOLÁS DE FEDERMAN I SECTOR E-13,NICOLÁS DE FEDERMAN I SECTOR ,NICOLAS DE FEDERMAN,,
3097,NICOLÁS DE FEDERMAN II SECTOR E-13,NICOLÁS DE FEDERMAN II SECTOR ,NICOLAS DE FEDERMAN,,
3098,NICOLÁS ESCOBAR E-7,NICOLÁS ESCOBAR,SIMON BOLIVAR,,
3099,NIQUIA E-11,NIQUIA ,QUIBA,,
3100,NIZA LTDA. E-11,NIZA LTDA. ,NIZA SUBA,,
3101,NIZA NORTE E-11,NIZA NORTE ,NIZA NORTE,,
3102,NIZA NORTE I SECTOR E-11,NIZA NORTE I SECTOR ,NIZA NORTE,,
3103,NIZA NORTE II SECTOR E-11,NIZA NORTE II SECTOR ,NIZA NORTE,,
3104,NIZA SUBA E-11,NIZA SUBA ,NIZA SUBA,,
3105,NIZA SUR I E-11,NIZA SUR I ,NIZA SUR,,
3106,NIZA SUR II E-11,NIZA SUR II ,NIZA SUR,,
3107,NIZA SUR III E-11,NIZA SUR III ,NIZA SUR,,
3108,NIZA TELECOM E-11,NIZA TELECOM ,NIZA NORTE,,
3109,NIZA XII E-11,NIZA XII ,NIZA SUR,,
3110,NO REPORTADA,NO REPORTADA,NORMANDIA,,
3111,NOGALES DE SUBA E-11,NOGALES DE SUBA ,ALTOS DE SUBA,,
3112,NORMANDIA E-10,NORMANDIA ,NORMANDIA,,
3113,NORMANDIA I SECTOR E-10,NORMANDIA I SECTOR ,NORMANDIA,,
3114,NORMANDIA II SECTOR E-10,NORMANDIA II SECTOR ,NORMANDIA,,
3115,NORMANDIA IV SECTOR E-10,NORMANDIA IV SECTOR ,NORMANDIA,,
3116,NORMANDIA OCCIDENTAL E-10,NORMANDIA OCCIDENTAL ,NORMANDIA OCCIDENTAL,,
3117,NORMANDÍA I SECTOR E-10,NORMANDÍA I SECTOR ,NORMANDIA,,
3118,NORMANDÍA II SECTOR E-10,NORMANDÍA II SECTOR ,NORMANDIA,,
3119,NORMANDÍA IV SECTOR E-10,NORMANDÍA IV SECTOR ,NORMANDIA,,
3120,NUESTRA SEÑORA DE LA PAZ E-7,NUESTRA SEÑORA DE LA PAZ,NUESTRA SENORA DEL ROSARIO,,
3121,NUEVA ALSACIA E-11,NUEVA ALSACIA ,NUEVA GRANADA,,
3122,NUEVA ARGENTINA E-19,NUEVA ARGENTINA ,NUEVA GRANADA,,
3123,NUEVA AUTOPISTA E-1,NUEVA AUTOPISTA,NUEVA TIBABUYES,,
3124,NUEVA AUTOPISTA II SECTOR E-1,NUEVA AUTOPISTA II SECTOR,NUEVO SAN ANDRES,,
3125,NUEVA CALIFORNIA E-1,NUEVA CALIFORNIA,NUEVA GLORIA,,
3126,NUEVA CANDELARIA E-1,NUEVA CANDELARIA,NUEVA DELHI,,
3127,NUEVA CIUDAD E-7,NUEVA CIUDAD,NUEVA GLORIA,,
3128,NUEVA COLOMBIA E-19,NUEVA COLOMBIA ,NUEVA GLORIA,,
3129,NUEVA DELLY E-4,NUEVA DELLY,NUEVA DELHI,,
3130,NUEVA ESCOCIA E-11,NUEVA ESCOCIA ,NUEVA GLORIA,,
3131,NUEVA ESCOCIA E-7,NUEVA ESCOCIA,NUEVA GLORIA,,
3132,NUEVA ESPAÑA E-4,NUEVA ESPAÑA,NUEVA ESPERANZA,,
3133,NUEVA ESPAÑA PARTE ALTA E-4,NUEVA ESPAÑA PARTE ALTA,NUEVA ESPERANZA,,
3134,NUEVA ESPERANZA E-18,NUEVA ESPERANZA ,NUEVA ESPERANZA,,
3135,NUEVA ESPERANZA E-7,NUEVA ESPERANZA,NUEVA ESPERANZA,,
3136,NUEVA GLORIA E-4,NUEVA GLORIA,NUEVA GLORIA,,
3137,NUEVA GLORIA II SECTOR E-4,NUEVA GLORIA II SECTOR,NUEVA GLORIA,,
3138,NUEVA GRANADA E-2,NUEVA GRANADA,NUEVA GRANADA,,
3139,NUEVA GRANADA E-7,NUEVA GRANADA,NUEVA GRANADA,,
3140,NUEVA GRANADA II SECTOR E-7,NUEVA GRANADA II SECTOR,NUEVA GRANADA,,
3141,NUEVA GRANADA V SECTOR E-7,NUEVA GRANADA V SECTOR,NUEVA GRANADA,,
3142,NUEVA JERSEY E-7,NUEVA JERSEY,NUEVA ESPERANZA,,
3143,NUEVA MARSELLA I SECTOR E-8,NUEVA MARSELLA I SECTOR,NUEVA DELHI,,
3144,NUEVA MARSELLA II SECTOR E-8,NUEVA MARSELLA II SECTOR,NUEVA DELHI,,
3145,NUEVA MARSELLA III SECTOR E-8,NUEVA MARSELLA III SECTOR,NUEVA DELHI,,
3146,NUEVA MIAMI E-7,NUEVA MIAMI,NUEVA GLORIA,,
3147,NUEVA ROMA ULTIMA ETAPA E-8,NUEVA ROMA ULTIMA ETAPA,NUEVA GLORIA,,
3148,NUEVA SANTAFE DE BOGOTA E-17,NUEVA SANTAFE DE BOGOTA ,NUEVA GRANADA,,
3149,NUEVA SANTAFE E-17,NUEVA SANTAFE ,NUEVA ESPERANZA,,
3150,NUEVA TIBABUYES E-11,NUEVA TIBABUYES ,NUEVA TIBABUYES,,
3151,NUEVA TIBABUYES I Y II SECTOR E-11,NUEVA TIBABUYES I Y II SECTOR ,NUEVA TIBABUYES,,
3152,NUEVA URB. EL CEDRITO E-1,NUEVA URB. EL CEDRITO,NUEVA DELHI,,
3153,NUEVA URB. SAN LUIS E-13,NUEVA URB. SAN LUIS ,NUEVA GRANADA,,
3154,NUEVA URB. SANTA BARBARA I SECTOR E-1,NUEVA URB. SANTA BARBARA I SECTOR,NUEVA GRANADA,,
3155,NUEVA USME E-5,NUEVA USME,NUEVA DELHI,,
3156,NUEVA VILLEMAR E-9,NUEVA VILLEMAR,NUEVA DELHI,,
3157,NUEVA YORK E-8,NUEVA YORK,NUEVA YORK,,
3158,NUEVAS DELICIAS E-8,NUEVAS DELICIAS,NUEVA DELHI,,
3159,NUEVAS MALVINAS (EL TRIUNFO S.O) E-4,NUEVAS MALVINAS (EL TRIUNFO S.O),LAS MANAS,,
3160,NUEVO CAMPIN E-13,NUEVO CAMPIN ,NUEVO MUZU,,
3161,NUEVO CHILE E-7,NUEVO CHILE,NUEVO TECHO,,
3162,NUEVO CHILE E-8,NUEVO CHILE,NUEVO TECHO,,
3163,NUEVO COLON E-10,NUEVO COLON ,NUEVO TECHO,,
3164,NUEVO CORINTO E-11,NUEVO CORINTO ,NUEVO TECHO,,
3165,NUEVO CORINTO SUBA E-11,NUEVO CORINTO SUBA ,NUEVO SAN ANDRES,,
3166,NUEVO COUNTRY I SECTOR E-1,NUEVO COUNTRY I SECTOR,NUEVO TECHO,,
3167,NUEVO COUNTRY II SECTOR E-1,NUEVO COUNTRY II SECTOR,CHICO NORTE II SECTOR,,
3168,NUEVO HORIZONTE E-1,NUEVO HORIZONTE,BELLO HORIZONTE,,
3169,NUEVO HORIZONTE E-11,NUEVO HORIZONTE ,BELLO HORIZONTE,,
3170,NUEVO KENNEDY E-8,NUEVO KENNEDY,NUEVO SAN ANDRES,,
3171,NUEVO MEXICO,NUEVO MEXICO,NUEVO TECHO,,
3172,NUEVO MILENIO E-10,NUEVO MILENIO ,NUEVO TECHO,,
3173,NUEVO MONTERREY E-11,NUEVO MONTERREY ,NUEVO TECHO,,
3174,NUEVO MUZO II SECTOR I ETAPA E-6,NUEVO MUZO II SECTOR I ETAPA,NUEVO MUZU,,
3175,NUEVO MUZO II SECTOR II ETAPA E-6,NUEVO MUZO II SECTOR II ETAPA,NUEVO MUZU,,
3176,NUEVO MUZU I SECTOR E-6,NUEVO MUZU I SECTOR,NUEVO MUZU,,
3177,NUEVO PENÍNSULA SUR E-18,NUEVO PENÍNSULA SUR ,NUEVO SAN ANDRES,,
3178,NUEVO PORVENIR E-5,NUEVO PORVENIR,NUEVO TECHO,,
3179,NUEVO SAN LUIS E-5,NUEVO SAN LUIS,NUEVO SAN ANDRES,,
3180,NUEVO SUBA E-11,NUEVO SUBA ,NUEVO MUZU,,
3181,NUEVO TIMIZA E-8,NUEVO TIMIZA,NUEVO MUZU,,
3182,NVO.CORINTO SUBA E-11,NVO.CORINTO SUBA ,NIZA SUBA,,
3183,OASIS DE SAN JORGE E-11,OASIS DE SAN JORGE ,BOSQUES DE SAN JORGE,,
3184,OBRERO ANTONIO RICAURTE E-14,OBRERO ANTONIO RICAURTE ,SAN BERNARDINO POTRERITOS,,
3185,OCHO DE DICIEMBRE E-19,OCHO DE DICIEMBRE ,ONCE DE NOVIEMBRE,,
3186,OIKOS  E-8,OIKOS ,MOLINOS NORTE,,
3187,OIKOS E-8,OIKOS,MOLINOS NORTE,,
3188,OIKOS LA COLINA E-11,OIKOS LA COLINA ,LA CAROLINA,,
3189,OIKOS PANORAMA E-11,OIKOS PANORAMA ,PASO ANCHO,,
3190,OINAR DEL CONTRY NORTE E-1,OINAR DEL CONTRY NORTE,EL RINCON NORTE,,
3191,OLARTE E-7,OLARTE,OLARTE,,
3192,OLAYA E-18,OLAYA ,OLAYA,,
3193,OLIVARES E-5,OLIVARES,OLARTE,,
3194,OLIVOS E-5,OLIVOS,BOLIVIA,,
3195,OLIVOS E-7,OLIVOS,BOLIVIA,,
3196,ONASIS E-8,ONASIS,SAN LUIS,,
3197,ONCE DE NOVIEMBRE E-12,ONCE DE NOVIEMBRE ,ONCE DE NOVIEMBRE,,
3198,ONCE DE NOVIEMBRE E-6,ONCE DE NOVIEMBRE,ONCE DE NOVIEMBRE,,
3199,ONEIDA  E-8,ONEIDA ,RONDA,,
3200,ONEIDA E-8,ONEIDA,RONDA,,
3201,ORQUIDEAS E-11,ORQUIDEAS ,LAS ORQUIDEAS,,
3202,ORQUIDEAS II SECTOR E-11,ORQUIDEAS II SECTOR ,QUIBA I,,
3203,ORQUÍDEAS E-11,ORQUÍDEAS ,LAS ORQUIDEAS,,
3204,ORQUÍDEAS II SECTOR E-11,ORQUÍDEAS II SECTOR ,AURES II,,
3205,ORTENZAL E-16,ORTENZAL ,ORTEZAL,,
3206,OSORIO DIEZ E-7,OSORIO DIEZ,OSORIO II,,
3207,OSORIO HSI E-7,OSORIO HSI,OSORIO II,,
3208,OSPINA PEREZ E-16,OSPINA PEREZ ,OSPINA PEREZ,,
3209,OSPINA PÉREZ E-16,OSPINA PÉREZ ,OSPINA PEREZ,,
3210,P.T. SANTA MARÍA E-19,P.T. SANTA MARÍA ,SANTA MARIA,,
3211,PABLO SEXTO E-13,PABLO SEXTO ,PABLO VI NORTE,,
3212,PABLO SEXTO E-7,PABLO SEXTO,PABLO VI NORTE,,
3213,PABLO VI,PABLO VI,PAULO VI,,
3214,PABLO VI E-13,PABLO VI ,PAULO VI,,
3215,PABLO VIH E-7,PABLO VIH,PAULO VI,,
3216,PABLO VIH II SECTOR 3 ETAPA E-13,PABLO VIH II SECTOR 3 ETAPA ,PABLO VI NORTE,,
3217,PADUA E-4,PADUA,PALOQUEMAO,,
3218,PALENQUE E-8,PALENQUE,PALOQUEMAO,,
3219,PALERMO E-13,PALERMO ,PALERMO,,
3220,PALERMO E-2,PALERMO,PALERMO,,
3221,PALERMO III SECTOR E-13,PALERMO III SECTOR ,PALERMO SUR,,
3222,PALERMO NORTE E-13,PALERMO NORTE ,PALERMO,,
3223,PALERMO SUR - BRISAS E-18,PALERMO SUR - BRISAS ,PALERMO SUR,,
3224,PALERMO SUR - SANA FONSECA E-18,PALERMO SUR - SANA FONSECA ,PALERMO SUR,,
3225,PALERMO SUR E-18,PALERMO SUR ,PALERMO SUR,,
3226,PALERMO SUR E-5,PALERMO SUR,PALERMO SUR,,
3227,PALERMO SUR EL TRIANGULO E-18,PALERMO SUR EL TRIANGULO ,PALERMO SUR,,
3228,PALERMO SUR LAS BRISAS E-18,PALERMO SUR LAS BRISAS ,PALERMO SUR,,
3229,PALERMO SUR LOS ARRAYANES E-18,PALERMO SUR LOS ARRAYANES ,PALERMO SUR,,
3230,PALERMO SUR OSWALDO GOMEZ E-18,PALERMO SUR OSWALDO GOMEZ ,PALERMO SUR,,
3231,PALERMO SUR OSWALDO GÓMEZ E-18,PALERMO SUR OSWALDO GÓMEZ ,PALERMO SUR,,
3232,PALERMO SUR SAN MARCOS E-18,PALERMO SUR SAN MARCOS ,PALERMO SUR,,
3233,PALESTINA E-10,PALESTINA ,PENALISA,,
3234,PALESTINA E-7,PALESTINA,PENALISA,,
3235,PALESTINA E-9,PALESTINA,PENALISA,,
3236,PALMA ALDEA E-11,PALMA ALDEA ,LA ALAMEDA,,
3237,PALMARES E-10,PALMARES ,PALERMO,,
3238,PALMIRA E-9,PALMIRA,PALERMO,,
3239,PALO BLANCO E-10,PALO BLANCO ,PALO BLANCO,,
3240,PALOMAR E-2,PALOMAR,PALOQUEMAO,,
3241,PALOQUEMAO E-14,PALOQUEMAO ,PALOQUEMAO,,
3242,PANALPINA E-9,PANALPINA,CATALINA,,
3243,PANAMERICANO E-14,PANAMERICANO ,PARQUE NACIONAL,,
3244,PANORAMA (ALTAMIRA) E-4,PANORAMA (ALTAMIRA),PARAMO I,,
3245,PANORAMA E-2,PANORAMA,PARAMO,,
3246,PANORAMA E-4,PANORAMA,PARAMO,,
3247,PARAJES DEL BALMORAL E-1,PARAJES DEL BALMORAL,PARQUE EL TUNAL,,
3248,PARCELA EL PORVENIR E-7,PARCELA EL PORVENIR,PARCELA EL PORVENIR,,
3249,PARCELACION EL MOLINO E-1,PARCELACION EL MOLINO,PARCELA EL PORVENIR,,
3250,PARCELACION EL PORVENIR E-19,PARCELACION EL PORVENIR ,PARCELA EL PORVENIR,,
3251,PARCELACION EL PORVENIR E-7,PARCELACION EL PORVENIR,PARCELA EL PORVENIR,,
3252,PARCELACION EL VERGEL E-8,PARCELACION EL VERGEL,PARCELA EL PORVENIR,,
3253,PARCELACION SAN PEDRO E-5,PARCELACION SAN PEDRO,PARCELA EL PORVENIR,,
3254,PARCELACION TERMALES,PARCELACION TERMALES,PARCELA EL PORVENIR,,
3255,PARCELACIÓN BOGOTA E-19,PARCELACIÓN BOGOTA ,PARAMO URBANO,,
3256,PARCELACIÓN EL MOLINO E-1,PARCELACIÓN EL MOLINO,PARCELA EL PORVENIR,,
3257,PARCELACIÓN EL PORVENIR E-19,PARCELACIÓN EL PORVENIR ,PARCELA EL PORVENIR,,
3258,PARCELACIÓN EL PORVENIR E-7,PARCELACIÓN EL PORVENIR,PARCELA EL PORVENIR,,
3259,PARCELACIÓN EL VERGEL E-8,PARCELACIÓN EL VERGEL,PARCELA EL PORVENIR,,
3260,PARCELACIÓN JARDÍN E-11,PARCELACIÓN JARDÍN ,CAPELLANIA,,
3261,PARCELACIÓN LA FLORESTA E-1,PARCELACIÓN LA FLORESTA,PARCELA EL PORVENIR,,
3262,PARCELACIÓN LAS MERCEDES E-11,PARCELACIÓN LAS MERCEDES ,PARCELA EL PORVENIR,,
3263,PARCELACIÓN SAN JOSÉ E-11,PARCELACIÓN SAN JOSÉ ,PARIS,,
3264,PARCELACIÓN SAN PEDRO E-5,PARCELACIÓN SAN PEDRO,PARCELA EL PORVENIR,,
