,barrio_original,barrio_sin_est,nom_match,lat,lon
1885,GUADUAL FONTIBON E-9,GUADUAL FONTIBON,GUADUAL FONTIBON,,
1886,GUADUAL FONTIBÓN E-9,GUADUAL FONTIBÓN,GUADUAL FONTIBON,,
1887,GUAIMARAL E-11,GUAIMARAL ,GUAYMARAL,,
1888,GUALI E-10,GUALI ,GUALOCHE,,
1889,GUATIQUIA URBANIZACIÓN E-19,GUATIQUIA URBANIZACIÓN ,QUIRIGUA II,,
1890,GUAVIO E-3,GUAVIO,EL GUAVIO,,
1891,GUAYMARAL E-11,GUAYMARAL ,GUAYMARAL,,
1892,GUICANI URBANIZACION E-11,GUICANI URBANIZACION ,CHIGUAZA URBANO,,
1893,GUICANI URBANIZACIÓN E-11,GUICANI URBANIZACIÓN ,,,
1894,GUILLERMO NUÑEZ E-11,GUILLERMO NUÑEZ ,VILLA CARMENZA,,
1895,GUILLERMO NÚÑEZ E-11,GUILLERMO NÚÑEZ ,VILLA CARMENZA,,
1896,GUIPARMA E-18,GUIPARMA ,GUIPARMA,,
1897,GUIPARMA LOTE II E-18,GUIPARMA LOTE II ,GUIPARMA,,
1898,GUIRA E-4,GUIRA,GUIPARMA,,
1899,GUSTAVO RESTREPO E-18,GUSTAVO RESTREPO ,GUSTAVO RESTREPO,,
1900,GUSTAVO SCHRADER E-9,GUSTAVO SCHRADER,GUSTAVO RESTREPO,,
1901,HACIENDA ALTAMIRA E-10,HACIENDA ALTAMIRA ,LA CANDELARIA,,
1902,HACIENDA BOLONIA E-5,HACIENDA BOLONIA,CHAPINERO OCCIDENTAL,,
1903,HACIENDA CANTARRANA E-5,HACIENDA CANTARRANA,CHAPINERO CENTRAL,,
1904,HACIENDA CASA BLANCA E-11,HACIENDA CASA BLANCA ,NUEVA GRANADA BOSA,,
1905,HACIENDA CASABLANCA E-19,HACIENDA CASABLANCA ,LA CANDELARIA,,
1906,HACIENDA CORDOBA NIZA VIII E-11,HACIENDA CORDOBA NIZA VIII ,CIUDAD BOLIVAR RURAL III,,
1907,HACIENDA CÓRDOBA NIZA VIII E-11,HACIENDA CÓRDOBA NIZA VIII ,CIUDAD BOLIVAR RURAL III,,
1908,HACIENDA DE TECHO LOTE 1 E-8,HACIENDA DE TECHO LOTE 1,,,
1909,HACIENDA EL CEDRO E-1,HACIENDA EL CEDRO,CIUDADELA EL RECREO,,
1910,HACIENDA HATO CHICO E-11,HACIENDA HATO CHICO ,EL CHANCO II,,
1911,HACIENDA LA FLORESTA E-11,HACIENDA LA FLORESTA ,LA FISCALA NORTE,,
1912,HACIENDA LAS MANAS E-19,HACIENDA LAS MANAS ,LA CANDELARIA,,
1913,HACIENDA LAS MERCEDES E-9,HACIENDA LAS MERCEDES,LAS MERCEDES,,
1914,HACIENDA LOS MOLINOS E-18,HACIENDA LOS MOLINOS ,LA ESTACION BOSA,,
1915,HACIENDA SAN ANTONIO E-1,HACIENDA SAN ANTONIO,SAN ANTONIO ENGATIVA,,
1916,HACIENDA SAN SIMON E-11,HACIENDA SAN SIMON ,NACIONES UNIDAS,,
1917,HACIENDA SANTA BARBARA E-1,HACIENDA SANTA BARBARA,CALLEJON SANTA BARBARA,,
1918,HACIENDA SANTA BARBARA I SECTOR E-1,HACIENDA SANTA BARBARA I SECTOR,SANTA BARBARA CENTRAL,,
