id,localidad,count,prop,delito
115,SUMAPAZ,26.5,0.01204423176519464,SEXUAL CRIMES
116,TEUSAQUILLO,66.4,0.027932843963043248,SEXUAL CRIMES
117,TUNJUELITO,64.5,0.025408747991543218,SEXUAL CRIMES
118,USAQUEN,1160.3,0.24037011507236694,SEXUAL CRIMES
119,USME,144.7,0.05800031123305928,SEXUAL CRIMES
120,ANTONIO NARIÑO,408.2,0.020235049503159845,PERSONAL INJURIES
121,BARRIOS UNIDOS,720.9,0.036463295653539174,PERSONAL INJURIES
122,BOSA,1300.1,0.06093701948200808,PERSONAL INJURIES
123,CANDELARIA,203.7,0.010185591789041729,PERSONAL INJURIES
124,CHAPINERO,807.9,0.0397360831882046,PERSONAL INJURIES
125,CIUDAD BOLIVAR,2131.4,0.11101596062593726,PERSONAL INJURIES
126,ENGATIVA,1484.6,0.07335679798924813,PERSONAL INJURIES
127,FONTIBON,617.7,0.028704450779170367,PERSONAL INJURIES
128,KENNEDY,1908.3,0.08904762495043564,PERSONAL INJURIES
129,LOS MARTIRES,635.1,0.03107047019185923,PERSONAL INJURIES
130,PUENTE ARANDA,655.2,0.03130209281715478,PERSONAL INJURIES
131,RAFAEL URIBE URIBE,871.1,0.04242007233059877,PERSONAL INJURIES
132,SAN CRISTOBAL,1290.7,0.0635050392468148,PERSONAL INJURIES
133,SANTA FE,689.9,0.03345749890080107,PERSONAL INJURIES
134,SUBA,1756.3,0.08804791746525278,PERSONAL INJURIES
135,SUMAPAZ,249.8,0.012918540435574163,PERSONAL INJURIES
136,TEUSAQUILLO,688.9,0.03534854669084856,PERSONAL INJURIES
137,TUNJUELITO,666.7,0.03119945261966404,PERSONAL INJURIES
138,USAQUEN,2764.3,0.09680865494085625,PERSONAL INJURIES
139,USME,1311.2,0.06423984039983069,PERSONAL INJURIES
