,bar_orig,loc_match
377,CORDOBA,SAN CRISTOBAL
378,ISLA DEL SOL,TUNJUELITO
379,LA COMUNA,USME
380,BARCELONA SUR,SAN CRISTOBAL
381,JOSE ANTONIO GALAN,BOSA
382,EL MINUTO DE DIOS,ENGATIVA
383,BERLIN,SUBA
384,EL PROGRESO,LOS MARTIRES
385,LAS ACACIAS,CIUDAD BOLIVAR
386,CIUDAD JARDIN SUR,ANTONIO NARIÑO
387,QUIROGA I,RAFAEL URIBE URIBE
388,LA GRANJA NORTE,USAQUEN
389,LAGUNITAS URBANO,CIUDAD BOLIVAR
390,ALQUERIA LA FRAGUA,KENNEDY
391,CARACAS,ANTONIO NARIÑO
392,EL DORADO,SANTA FE
393,PROVIVIENDA NORTE,PUENTE ARANDA
394,SAN FELIPE DE USME RURAL,USME
395,LA PAZ BOSA,BOSA
396,LA ALAMEDA,SANTA FE
397,JACQUELINE,KENNEDY
398,LAS NIEVES,SANTA FE
399,SAN PABLO JERICO,FONTIBON
400,CIUDAD LONDRES RURAL,USME
401,BETANIA,SUMAPAZ
402,VILLA ANNY I,BOSA
403,VILLA ANNY II,BOSA
404,MAZUREN,SUBA
405,AGUAS CLARAS I,SAN CRISTOBAL
406,SAN BERNARDINO XXV URBANO,BOSA
407,LAS MERCEDES I,SUBA
408,EL CORTIJO,ENGATIVA
409,CANTAGALLO,SUBA
410,VILLA MARIA,SUBA
411,ORTEZAL,PUENTE ARANDA
412,NUEVA TIBABUYES,SUBA
413,LOS CEREZOS,ENGATIVA
414,EL MOCHUELO II,CIUDAD BOLIVAR
415,LA ESPERANZA SUR I,USME
416,EL TINTAL IV,KENNEDY
417,JOSE MARIA CARBONEL,BOSA
418,PALOQUEMAO,LOS MARTIRES
419,SAMPER,SANTA FE
420,TIBAQUE SUR,USME
421,LAGUNITAS,SUMAPAZ
422,CHORRERAS,SUMAPAZ
423,LAS VEGAS,SUMAPAZ
424,CERRO COLORADO,CIUDAD BOLIVAR
425,EL TOLDO,SUMAPAZ
426,ALCALA,PUENTE ARANDA
427,JORGE URIBE BOTERO,KENNEDY
428,OSORIO X URBANO,BOSA
429,MOLINOS NORTE,USAQUEN
430,LA ESPERANZA,BARRIOS UNIDOS
431,EL BAGAZAL,CHAPINERO
432,LA RIVIERA,ENGATIVA
433,LA ESTRELLITA I,USAQUEN
434,TIBABUYES,SUBA
435,COSTA AZUL,SUBA
436,LA ESPERANZA,CHAPINERO
437,PORVENIR,USME
438,TIBAQUE URBANO,SAN CRISTOBAL
439,PARDO RUBIO  I,CHAPINERO
440,LA PERSEVERANCIA I,SANTA FE
441,LOS CEDROS,USAQUEN
442,MONTES,PUENTE ARANDA
443,RENANIA URAPANES,KENNEDY
444,SAN ANTONIO DEL MIRADOR,CIUDAD BOLIVAR
445,CHICO SUR,BOSA
446,PARQUE POPULAR SALITRE,BARRIOS UNIDOS
447,LA FLORIDA OCCIDENTAL,PUENTE ARANDA
448,USATAMA,LOS MARTIRES
449,BARRANCAS,USAQUEN
450,VILLAS DE ALCALA,ENGATIVA
451,PARAMO RURAL V,CHAPINERO
452,CEDRO SALAZAR,USAQUEN
453,BARRANCAS NORTE,USAQUEN
454,LOS ALAMOS,ENGATIVA
455,TIBABITA RURAL,USAQUEN
456,CANAIMA,USAQUEN
457,LA URIBE,USAQUEN
458,NAZARETH URBANO,SUMAPAZ
459,SANTA CECILIA,ENGATIVA
460,CLUB DE LOS LAGARTOS,SUBA
461,TTES DE COLOMBIA,SUBA
462,EL CEDRO,ENGATIVA
463,BELEN,CANDELARIA
464,PERDOMO ALTO,CIUDAD BOLIVAR
465,ESTRELLA,TEUSAQUILLO
466,ALFONSO LOPEZ,TEUSAQUILLO
467,SANTA ROSA,CIUDAD BOLIVAR
468,SAN BERNARDINO XXII URBANO,BOSA
469,CURUBITAL,USME
470,MODELO SUR,SAN CRISTOBAL
471,BILBAO,SUBA
472,JUAN REY SUR,USME
473,EL HATO,USME
474,CASABLANCA SUBA I,SUBA
475,EL PLAN,SUBA
476,RAFAEL ESCAMILLA,CIUDAD BOLIVAR
477,VEREDA SUBA CERROS II,SUBA
478,MONTEBELLO,SAN CRISTOBAL
479,MADELENA,CIUDAD BOLIVAR
480,CAMPO VERDE,BOSA
481,PRIMAVERA,ENGATIVA
482,BELLAVISTA,CHAPINERO
483,INGEMAR ORIENTAL I,CHAPINERO
484,AGUAS CLARAS,SAN CRISTOBAL
485,NORMANDIA OCCIDENTAL,ENGATIVA
486,ENGATIVA EL DORADO,ENGATIVA
487,SAN JOSE SUR ORIENTAL,SAN CRISTOBAL
488,LA HORTUA,ANTONIO NARIÑO
489,LA SERENA,ENGATIVA
490,VILLA LUZ,ENGATIVA
491,EL CORZO I,BOSA
492,BOSA NOVA,BOSA
493,SABANA DEL DORADO,ENGATIVA
494,GUIPARMA,RAFAEL URIBE URIBE
495,LOS ARRAYANES,USME
496,REMANSO URBANO,BOSA
497,EL REMANSO,BOSA
498,EDUARDO FREY,ANTONIO NARIÑO
499,LA UNION,SUMAPAZ
500,PORTALES DEL NORTE,SUBA
501,SAN PEDRO,SUBA
502,LA GRANJA,ENGATIVA
503,EL PANTANO,ENGATIVA
504,VEREDA EL TINTAL RURAL,KENNEDY
505,JUAN JOSE RONDON I,USME
506,EL TINTAL II,FONTIBON
507,EL PENON DEL CORTIJO,CIUDAD BOLIVAR
508,CLASS,KENNEDY
509,PASTRANA,KENNEDY
510,JORGE GAITAN CORTES,PUENTE ARANDA
511,CAMELIA II,PUENTE ARANDA
512,HOYA SAN CRISTOBAL,SAN CRISTOBAL
513,SIBERIA,CHAPINERO
514,INGEMAR,CHAPINERO
515,LAS MARGARITAS,BOSA
516,ARBORIZADORA ALTA  II,CIUDAD BOLIVAR
517,TIBAQUE,SAN CRISTOBAL
518,SANTA TERESA,USAQUEN
519,EL MOCHUELO ALTO,CIUDAD BOLIVAR
520,BOSQUE DE PINOS,USAQUEN
521,TORCA I,USAQUEN
522,TORCA RURAL I,USAQUEN
523,TORCA RURAL II,USAQUEN
524,CENTRO USME,USME
525,SAN JORGE SUR,RAFAEL URIBE URIBE
526,LA VICTORIA,SAN CRISTOBAL
527,PRIMERO DE MAYO,SAN CRISTOBAL
528,EL DANUBIO AZUL,BOSA
529,OSPINA PEREZ SUR,PUENTE ARANDA
530,ANTIGUO COUNTRY,CHAPINERO
