date,municipality,nighborhood,zone,age,sex,schooling
2019-07-12 00:00:00,GIRARDOT,LAS ROSAS,URBANA,,MASCULINO,NO REPORTADO
2019-07-12 04:10:00,SOACHA,CIUDAD VERDE,URBANA,27.0,MASCULINO,SECUNDARIA
2019-07-13 16:00:00,BOGOTÁ D.C.,ARMENIA E-13,URBANA,42.0,FEMENINO,SECUNDARIA
2019-07-13 16:00:00,BOGOTÁ D.C.,VISION DE COLOMBIA E-8,URBANA,40.0,MASCULINO,SUPERIOR
2019-07-13 18:00:00,BOGOTÁ D.C.,HIPOTECHO OCCIDENTAL E-8,URBANA,28.0,FEMENINO,SUPERIOR
2019-07-13 18:00:00,BOGOTÁ D.C.,RESTREPO E-15,URBANA,36.0,MASCULINO,SUPERIOR
2019-07-13 18:30:00,BOGOTÁ D.C.,SANTA ISABEL E-14,URBANA,62.0,MASCULINO,SUPERIOR
2019-07-13 16:30:00,BOGOTÁ D.C.,EL CARMEN FONTIBON E-9,URBANA,41.0,MASCULINO,PRIMARIA
2019-07-13 20:15:00,BOGOTÁ D.C.,CIUDADELA COLSUBSIDIO E-10,URBANA,50.0,MASCULINO,SUPERIOR
2019-07-13 21:50:00,BOGOTÁ D.C.,GARCES NAVAS E-10,URBANA,25.0,MASCULINO,TECNICO
2019-07-13 18:25:00,BOGOTÁ D.C.,CIUDAD MONTES E-16,URBANA,30.0,MASCULINO,PRIMARIA
2019-07-13 01:18:00,BOGOTÁ D.C.,VILLAS DEL DORADO E-10,URBANA,61.0,MASCULINO,SECUNDARIA
2019-07-13 04:55:00,BOGOTÁ D.C.,PERDOMO E-19,URBANA,51.0,MASCULINO,PRIMARIA
2019-07-13 04:56:00,BOGOTÁ D.C.,LOMBARDIA E-11,URBANA,56.0,MASCULINO,SECUNDARIA
2019-07-14 10:00:00,BOGOTÁ D.C.,GARCES NAVAS E-10,URBANA,34.0,FEMENINO,SUPERIOR
2019-07-14 19:00:00,BOGOTÁ D.C.,LOS LAURELES E-7,URBANA,24.0,MASCULINO,SECUNDARIA
2019-07-14 18:30:00,BOGOTÁ D.C.,BRITALIA E-11,URBANA,38.0,MASCULINO,SECUNDARIA
2019-07-14 23:30:00,BOGOTÁ D.C.,GUSTAVO RESTREPO E-18,URBANA,35.0,MASCULINO,SECUNDARIA
2019-07-14 01:30:00,BOGOTÁ D.C.,GUACAMAYAS III E-4,URBANA,34.0,MASCULINO,SECUNDARIA
2019-07-14 03:05:00,BOGOTÁ D.C.,LA LIBERTAD E-7,URBANA,35.0,MASCULINO,SECUNDARIA
2019-07-14 13:14:00,BOGOTÁ D.C.,CIUDADELA COLSUBSIDIO E-10,URBANA,40.0,FEMENINO,SECUNDARIA
2019-07-14 11:32:00,BOGOTÁ D.C.,TRINIDAD GALAN E-16,URBANA,75.0,MASCULINO,PRIMARIA
2019-07-14 00:30:00,SIBATÉ,SANTA ISABEL,URBANA,,MASCULINO,NO REPORTADO
2019-07-14 11:00:00,SOACHA,COMPARTIR,URBANA,,MASCULINO,NO REPORTADO
2019-07-15 00:00:00,BOGOTÁ D.C.,BOGOTA SECTOR TEQUENDAMA E-19,URBANA,30.0,MASCULINO,TECNICO
2019-07-15 00:00:00,BOGOTÁ D.C.,LA CABAÑA E-10,URBANA,,FEMENINO,NO REPORTADO
2019-07-15 22:00:00,BOGOTÁ D.C.,VILLA ALSACIA E-8,URBANA,25.0,MASCULINO,SUPERIOR
2019-07-15 20:00:00,BOGOTÁ D.C.,NORMANDIA E-10,URBANA,27.0,MASCULINO,TECNICO
2019-07-15 20:00:00,BOGOTÁ D.C.,VILLA ALSACIA E-8,URBANA,44.0,MASCULINO,SECUNDARIA
2019-07-15 01:30:00,BOGOTÁ D.C.,SAN FRANCISCO E-19,URBANA,31.0,MASCULINO,SECUNDARIA
2019-07-15 10:50:00,BOGOTÁ D.C.,BOSQUE DE SAN CARLOS E-18,URBANA,48.0,MASCULINO,SECUNDARIA
2019-07-15 20:08:00,BOGOTÁ D.C.,SAN GABRIEL E-16,URBANA,23.0,FEMENINO,SECUNDARIA
2019-07-15 21:37:00,BOGOTÁ D.C.,JORGE GAITAN CORTES E-16,URBANA,,MASCULINO,
2019-07-15 06:00:00,EL ROSAL,CAMPO ALEGRE,URBANA,,MASCULINO,NO REPORTADO
2019-07-15 22:30:00,SOACHA,CIUDAD VERDE,URBANA,24.0,MASCULINO,SECUNDARIA
2019-07-15 14:10:00,SOPÓ,CENTRO,URBANA,25.0,MASCULINO,SECUNDARIA
2019-07-16 00:00:00,BOGOTÁ D.C.,EL PEÑON DEL CORTIJO E-19,URBANA,,MASCULINO,NO REPORTADO
2019-07-16 21:30:00,BOGOTÁ D.C.,NUEVO KENNEDY E-8,URBANA,27.0,MASCULINO,TECNOLOGO
2019-07-16 02:00:00,BOGOTÁ D.C.,SANTA ISABEL OCCIDENTAL E-16,URBANA,52.0,MASCULINO,SECUNDARIA
2019-07-16 12:00:00,BOGOTÁ D.C.,PALO BLANCO E-10,URBANA,46.0,MASCULINO,SUPERIOR
2019-07-16 15:30:00,BOGOTÁ D.C.,EL MUELLE E-10,URBANA,29.0,MASCULINO,PRIMARIA
2019-07-16 01:30:00,BOGOTÁ D.C.,LOS ALMENDROS II SECTOR E-11,URBANA,53.0,MASCULINO,PRIMARIA
2019-07-16 20:50:00,BOGOTÁ D.C.,JORGE GAITAN CORTES E-16,URBANA,20.0,MASCULINO,SECUNDARIA
2019-07-16 15:10:00,BOGOTÁ D.C.,EL RINCON E-11,URBANA,40.0,MASCULINO,NO REPORTADO
2019-07-16 21:08:00,BOGOTÁ D.C.,SAN JOSE DE BAVARIA E-11,URBANA,48.0,FEMENINO,SUPERIOR
2019-07-18 03:00:00,BOGOTÁ D.C.,SUBA URBANO E-11,URBANA,38.0,FEMENINO,SECUNDARIA
2019-07-17 21:30:00,BOGOTÁ D.C.,VERAGUAS CENTRAL IV SECTOR E-16,URBANA,43.0,MASCULINO,SUPERIOR
2019-07-17 19:00:00,BOGOTÁ D.C.,SANTA CECILIA E-10,URBANA,51.0,MASCULINO,SUPERIOR
2019-07-17 12:00:00,BOGOTÁ D.C.,MARRUECOS E-18,URBANA,53.0,FEMENINO,SECUNDARIA
2019-07-17 23:30:00,BOGOTÁ D.C.,LA FLORIDA E-10,URBANA,42.0,MASCULINO,SUPERIOR
2019-07-17 17:30:00,BOGOTÁ D.C.,TEUSAQUILLO E-13,URBANA,37.0,MASCULINO,SECUNDARIA
2019-07-17 01:15:00,BOGOTÁ D.C.,ALCALA E-16,URBANA,38.0,FEMENINO,SUPERIOR
2019-07-17 23:15:00,BOGOTÁ D.C.,POLO CLUB E-12,URBANA,54.0,MASCULINO,SUPERIOR
2019-07-17 06:00:00,SOACHA,SAN NICOLAS,URBANA,50.0,MASCULINO,SUPERIOR
2019-07-18 00:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,,MASCULINO,NO REPORTADO
2019-07-18 21:00:00,BOGOTÁ D.C.,PERPETUO SOCORRO E-8,URBANA,37.0,MASCULINO,SUPERIOR
2019-07-18 23:00:00,BOGOTÁ D.C.,BELLA SUIZA E-1,URBANA,57.0,FEMENINO,PRIMARIA
2019-07-18 21:30:00,BOGOTÁ D.C.,BOLIVIA E-10,URBANA,43.0,MASCULINO,SUPERIOR
2019-07-18 17:00:00,BOGOTÁ D.C.,LA ALAMEDA E-3,URBANA,49.0,MASCULINO,SUPERIOR
2019-07-18 11:00:00,BOGOTÁ D.C.,CENTRO FONTIBON E-9,URBANA,59.0,MASCULINO,TECNICO
2019-07-18 11:00:00,BOGOTÁ D.C.,CENTRO FONTIBON E-9,URBANA,59.0,MASCULINO,TECNICO
2019-07-18 23:30:00,BOGOTÁ D.C.,GUSTAVO RESTREPO E-18,URBANA,59.0,MASCULINO,SECUNDARIA
